"fromdate","todate","hours","total","ave_freq","ave_ccgt","ave_oil","ave_coal","ave_nuclear","ave_wind","ave_ps","ave_npshyd","ave_ocgt","ave_other","ave_biomass","ave_intfr","ave_intirl","ave_intned","ave_intew","ave_intnem","ave_solar","min_freq","min_ccgt","min_oil","min_coal","min_nuclear","min_wind","min_ps","min_npshyd","min_ocgt","min_other","min_biomass","min_intfr","min_intirl","min_intned","min_intew","min_intnem","min_solar","max_freq","max_ccgt","max_oil","max_coal","max_nuclear","max_wind","max_ps","max_npshyd","max_ocgt","max_other","max_biomass","max_intfr","max_intirl","max_intned","max_intew","max_intnem","max_solar","samples_freq","samples_ccgt","samples_oil","samples_coal","samples_nuclear","samples_wind","samples_ps","samples_npshyd","samples_ocgt","samples_other","samples_biomass","samples_intfr","samples_intirl","samples_intned","samples_intew","samples_intnem","samples_solar","source_freq","source_ccgt","source_oil","source_coal","source_nuclear","source_wind","source_ps","source_npshyd","source_ocgt","source_other","source_biomass","source_intfr","source_intirl","source_intned","source_intew","source_intnem","source_solar"
"2012-01-01 00:00:00","2013-01-01 00:00:00",8784,36119.1912,49.9938671,9456.3445,2.3066,15631.8411,7514.9714,1435.6184,331.8159,372.8432,2.9403,237.9690,-999999,733.5548,-248.5742,657.3043,-9.7441,-999999,-999999,0.000,1571,0,4237,4156,6,0,0,0,0,-999999,-2044,-476,-1016,-524,-999999,-999999,50.294,22119,1299,25239,9185,4951,2861,993,733,875,-999999,2000,196,1002,220,-999999,-999999,105227,105227,105227,105227,105227,105227,105227,105227,105227,105227,0,105227,105227,105227,105227,0,0,"G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G"
"2013-01-01 00:00:00","2014-01-01 00:00:00",8760,35728.5617,49.9999459,9135.9363,0.8671,14356.2619,7526.8218,2127.1496,320.0927,332.9639,0.8228,439.4188,-999999,1189.1218,-177.8969,724.8513,-247.8494,-999999,-999999,49.693,1518,0,3200,4097,19,0,0,0,0,-999999,-2042,-254,-1012,-580,-999999,-999999,50.275,23056,970,22327,9346,6114,2232,1050,629,1356,-999999,1998,192,1042,500,-999999,-999999,104698,104698,104698,104698,104698,104698,104698,104698,104698,104698,0,104698,104698,104698,104698,0,0,"G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G"
"2014-01-01 00:00:00","2015-01-01 00:00:00",8760,33997.7637,49.8456344,9879.4456,0.5775,11029.7126,6823.9139,2418.0582,318.8583,448.0066,0.7267,852.6508,-999999,1725.2519,-120.4210,896.1553,-275.1727,-999999,-999999,0.000,1637,0,1719,3193,48,0,0,0,38,-999999,-1700,-254,-984,-530,-999999,-999999,50.254,23544,578,19446,8861,6835,2520,1101,537,1400,-999999,2014,236,1204,380,-999999,-999999,104787,104787,104787,104787,104787,104787,104787,104787,104787,104787,0,104787,104787,104787,104787,0,0,"G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G"
"2015-01-01 00:00:00","2016-01-01 00:00:00",8760,32069.9606,49.9926198,10309.9216,0.0000,6734.2579,7513.4405,2674.4026,309.4858,410.7500,0.7635,1785.0300,0.0000,1468.7692,9.4746,904.6060,-50.9411,-999999,0.0000,0.000,2469,0,979,4706,66,0,12,0,754,0,-1540,-254,-774,-532,-999999,0,50.325,21730,0,14774,8802,6345,1993,1111,301,2445,0,2000,220,1050,356,-999999,0,880680,44032,44032,44032,44032,44032,44032,44032,44032,44032,44032,44032,44032,44032,44032,0,54212,"F","B","B","B","B","B","B","B","B","B","B","B","B","B","B","G","G"
"2016-01-01 00:00:00","2017-01-01 00:00:00",8784,33236.2631,49.9944484,14492.1238,0.0000,3186.8351,7604.3673,2413.0635,326.4062,384.8363,1.9220,1616.5554,0.0000,1128.4296,28.8032,843.5146,33.0104,-999999,1176.3957,0.000,2702,0,0,3729,50,0,0,0,157,0,-2050,-458,-1012,-978,-999999,0,50.555,26320,0,14853,8868,7976,2357,1380,458,2295,0,3322,298,1056,498,-999999,8540,2105152,105190,105190,105190,105190,105190,105190,105190,105190,105190,105190,105190,105190,105190,105190,0,105190,"F","B","B","B","B","B","B","B","B","B","B","B","B","B","B","G","B"
"2017-01-01 00:00:00","2018-01-01 00:00:00",8760,32676.916,49.9925582,13612.3973,0.0000,2352.7705,7484.0735,3692.3238,313.4619,452.1513,1.9054,1397.7285,253.9384,892.8304,16.8609,782.8484,98.0070,-999999,1325.6187,0.000,2515,0,0,5266,149,0,0,0,62,0,-2050,-456,-1036,-578,-999999,0,50.405,48834,0,18094,15784,11286,2468,1405,391,4172,4098,2012,298,1052,504,-999999,9410,2100576,105010,105010,105010,105010,105010,105010,105010,105010,105010,105010,105010,105010,105010,105010,0,98279,"F","B","B","B","B","B","B","B","B","B","B","B","B","B","B","G","B"
"2018-01-01 00:00:00","2019-01-01 00:00:00",8760,32627.5045,49.9777813,13164.8565,0.0044,1756.3458,6924.0522,4500.8035,271.4220,366.0259,2.1495,81.7273,1838.5019,1470.5360,-80.2337,750.1990,57.7127,-999999,1523.4015,0.000,2267,0,0,4900,46,0,0,0,0,214,-2044,-458,-1072,-538,-999999,0,50.342,32384,20,11343,15078,12117,2452,1054,397,260,4078,2002,402,1074,504,-999999,9300,2098848,104920,104920,104920,104920,104920,104920,104920,104920,104920,104920,104920,104920,104920,104920,0,92302,"F","B","B","B","B","B","B","B","B","B","B","B","B","B","B","G","B"
